,SapleName_readmatrix,Temperature,OA,Salinity,Replicate,Aragonite_saturation,Age.days
1,A12.larva,High,Low,High,A,1.57,2
2,B1.larva,High,Low,High,B,1.57,2
3,B2.larva,High,Low,High,C,1.57,2
4,B3.larva,High,High,High,A,0.714,2
5,B4.larva,High,High,High,B,0.714,2
6,B5.larva,High,High,High,C,0.714,2
7,B6.larva,High,High,Low,A,0.309,2
8,B7.larva,High,High,Low,B,0.309,2
9,B8.larva,High,High,Low,C,0.309,2
10,B9.larva,Low,Low,High,A,1.47,2
11,B10.larva,Low,Low,High,B,1.47,2
12,B11.larva,Low,Low,High,C,1.47,2
13,B12.larva,Low,High,High,A,0.64,2
14,C1.larva,Low,High,High,B,0.64,2
15,C2.larva,Low,High,High,C,0.64,2
16,C3.larva,Low,High,Low,A,0.221,2
17,C4.larva,Low,High,Low,B,0.221,2
18,C5.larva,Low,High,Low,C,0.221,2
19,C6.larva,High,Low,Low,A,0.638,2
20,C7.larva,High,Low,Low,B,0.638,2
21,C8.larva,High,Low,Low,C,0.638,2
22,C9.larva,Low,Low,Low,A,0.524,2
23,C10.larva,Low,Low,Low,B,0.524,2
24,C11.larva,Low,Low,Low,C,0.524,2
