"","MEblack","MEblue","MEbrown","MEgreen","MEpink","MEred","MEturquoise","MEyellow"
"A12.larva",-0.171404630530657,0.197097443448167,0.126765144824753,0.0336445535517714,0.00841923870121841,-0.058259030377067,-0.262588799837838,-0.0152402991096716
"B1.larva",0.060941285194731,0.218103390476703,0.0457239454852504,-0.0894704624741826,-0.000884302273616772,-0.132825755778211,-0.246617337841685,-0.345923575266722
"B2.larva",-0.19840948909466,0.204852296605398,0.20704799013039,0.153807746356807,-0.0880963454923753,0.0791008215654566,-0.17651736835989,0.183216300999334
"B3.larva",-0.146519760489624,0.186822875250428,0.202165032789355,-0.160031877424687,0.21787046045097,0.0907024169875122,-0.270823545240741,0.146430322689487
"B4.larva",-0.0663487826881691,0.205790616600632,0.0861307907647862,0.288507517307125,-0.0277170153815579,0.000979494174266793,-0.296032086144229,0.113708598868049
"B5.larva",0.182861149164143,0.311764272461608,0.0702648864232908,-0.5699896135035,0.0475438315948331,0.137570706563142,-0.112445665257426,0.109415269386844
"B6.larva",0.0735335049915763,0.0167057629155281,-0.414124006136815,-0.0605085052586231,0.178558431608331,0.0493746691154993,0.0532776200153722,0.0483961909230416
"B7.larva",-0.182641300134922,0.136402528039967,0.0843151630564906,0.149826026370626,-0.0523268912351759,0.0660617706485884,0.0405953840496404,0.220199653619305
"B8.larva",-0.0242625746274236,0.113299040359217,-0.0615058202102779,0.0311212169532069,-0.105672290399213,-0.89996573268852,-0.125466898994577,-0.376937129064747
"B9.larva",-0.0730625637831036,0.0544823212059599,0.117291871868926,-0.185302312359098,0.0475934138360462,0.0597951284593267,-0.0698206112259274,0.0625351193872256
"B10.larva",0.0385649595437879,0.0546034992257822,0.0302023748532728,-0.153577917735266,-0.0729287245360527,-0.0359320341797872,-0.123279668663076,-0.404609367564168
"B11.larva",-0.137404323959661,-0.0090351095223932,0.0623820636247127,0.228764842967049,-0.304868586530471,-0.0917959717395918,-0.203315460515612,-0.227506447217502
"C1.larva",-0.010731722109568,0.0405425713858316,0.0767474402956915,0.21043925634407,-0.325726581268417,0.086934294192142,-0.0170333416189678,0.13885146469171
"C2.larva",-0.048232672743765,0.02154193262313,0.0966841226504677,0.0439764526611007,-0.233866441269493,0.0489874756649336,-0.0391042685656651,0.0496594204542836
"C3.larva",-0.221137051674541,-0.355371912123416,0.126783464170178,-0.085516848688365,0.297647114073797,0.161433146286031,0.381382578141438,0.242521913064217
"C4.larva",0.479685483628149,-0.413954862525742,-0.157105354066082,0.183591913341894,-0.170859005370652,-0.0669595517359481,0.345343523633026,-0.183890984663881
"C5.larva",-0.318451225374286,-0.458590993791545,0.148558118804255,0.275555221644648,-0.00664983516937235,0.123093798771851,0.213953781678839,0.246358620662491
"C7.larva",-0.077322600999634,0.0948118377211625,0.0579703266682303,-0.085830550194141,-0.0621057975757939,-0.000265482360385004,-0.00127006858676397,-0.0436603534413366
"C8.larva",-0.0564091305747189,0.021715848983536,0.0447581382151775,0.243771243863209,-0.208742298862944,-0.00977681966269185,0.0305441177555112,0.0348753433165271
"C9.larva",0.543883600312254,-0.195395702564198,-0.333256949876422,-0.321153798478382,0.256979228536683,0.0764262812312513,0.282999990675993,-0.373074200204716
"C10.larva",0.0135039625987769,-0.190129594633276,0.0780551184875876,0.0990746588889004,-0.0285557874523992,0.111749948720929,0.218315851857308,0.200271743963287
"C11.larva",0.339363883351323,-0.25605806214248,-0.695853862823218,-0.230698764134164,0.634388184015651,0.203570426141272,0.377902273045271,0.174402394506945
