"","MEblue","MEbrown","MEgreen","MEturquoise","MEgreenyellow","MEblack","MEred","MEgrey"
"A12.larva",-0.028217071574995,0.0608097324266655,0.134936139269104,0.095914718461599,0.0820686493771746,-0.677653858866353,-0.175226120069911,0.340582657670187
"B1.larva",-0.309547144061058,0.210323832258832,0.164093306355212,-0.0943700565153598,0.250621275399464,0.0362657427604821,-0.277682036536717,0.101853134287178
"B2.larva",0.188534675989156,0.0394675666439995,0.236536024240487,0.203197661731256,0.0480615140792062,-0.231275382822659,-0.225587343627411,0.265396357911483
"B3.larva",0.221799664181398,0.313400139032727,0.246429401817124,-0.151409365206147,-0.341609039570772,-0.298450319997328,-0.276873871415174,-0.0340338160639864
"B4.larva",0.0880495522183415,0.270963595592841,0.071763998710428,0.370399304193847,-0.564856300376247,0.0058689443507346,-0.489177515034989,-0.425887687418201
"B5.larva",0.269579794555677,0.477654726686143,0.100967665248011,-0.795756542400626,-0.17166974603664,0.448133030308261,-0.0858039359380919,-0.161364137201816
"B6.larva",0.167734501981058,-0.252057609308016,-0.881475067881204,-0.106688748411387,-0.220748307867006,0.339638112767302,0.468583979765267,0.273336009464062
"B7.larva",0.197220429806791,-0.174628655847903,0.0199659987326256,0.186396947703682,0.00500681706792018,-0.0199550241235135,0.329282004937136,-0.21353724018232
"B8.larva",-0.818939161170915,-0.0944500655353544,-0.199342696087199,0.0557276820547077,0.0118727889190543,0.26742232309721,0.317400773792921,0.388022622582129
"C7.larva",0.000869902685246504,-0.219280345768744,0.0593321556644943,-0.0688388196263949,0.387816218209629,0.0520860933910139,0.246877259887856,0.0336235862385913
"C8.larva",0.0229148553893023,-0.63220291618119,0.0467930739309157,0.305427218014822,0.513436130798216,0.0779203391348493,0.168206804239115,-0.567991487287306
